t,x_ref,x_meas,e_x,y_meas,z_meas
0.06506800651550293,0.34699132337043537,0.15114320814609528,0.1958481152243401,0.058821599930524826,-2.0153045654296875
0.09840917587280273,0.33477969823617043,0.14399616420269012,0.1907835340334803,0.06067483499646187,-2.01631236076355
0.13173460960388184,0.3274128655957708,0.13895447552204132,0.1884583900737295,0.06191828101873398,-2.017850875854492
0.16506528854370117,0.32528145017255006,0.1355854868888855,0.18969596328366456,0.06273050606250763,-2.0191352367401123
0.19849610328674316,0.3291309024517303,0.13014404475688934,0.19898685769484098,0.0642128437757492,-2.021821975708008
0.23173069953918457,0.3291309024517303,0.12801015377044678,0.20112074868128355,0.06504818052053452,-2.023224353790283
0.2652323246002197,0.3291309024517303,0.12576031684875488,0.20337058560297544,0.06646904349327087,-2.025256872177124
0.2985117435455322,0.3291309024517303,0.12406911700963974,0.20506178544209058,0.06841668486595154,-2.0275750160217285
0.33173036575317383,0.3291309024517303,0.12255699932575226,0.20657390312597806,0.07197225838899612,-2.0309014320373535
0.36515212059020996,0.3291309024517303,0.12187999486923218,0.20725090758249815,0.07483742386102676,-2.033071994781494
0.39847278594970703,0.3291309024517303,0.12115936726331711,0.20797153518841321,0.07970098406076431,-2.036090135574341
0.431732177734375,0.3291309024517303,0.12034660577774048,0.20878429667398984,0.08759505301713943,-2.0399317741394043
0.465134859085083,0.3291309024517303,0.11962194740772247,0.20950895504400785,0.09548874944448471,-2.042945623397827
0.49846577644348145,0.3291309024517303,0.11873215436935425,0.21039874808237607,0.10482366383075714,-2.04586124420166
0.5319192409515381,0.3291309024517303,0.1179112121462822,0.21121969030544813,0.11271582543849945,-2.0479934215545654
0.5652189254760742,0.3291309024517303,0.11566770821809769,0.21346319423363264,0.13088513910770416,-2.0521810054779053
0.59842848777771,0.3291309024517303,0.11423686891794205,0.21489403353378828,0.140996053814888,-2.0542778968811035
0.6320466995239258,0.3291309024517303,0.11200026422739029,0.21713063822434003,0.15542840957641602,-2.057110071182251
0.6651642322540283,0.47012908741328263,0.10868426412343979,0.36144482328984284,0.17476606369018555,-2.0607738494873047
0.6984307765960693,0.4645590250961891,0.10557787120342255,0.3589811538927666,0.1909676343202591,-2.0638010501861572
0.7318000793457031,0.45424793269371505,0.10206129401922226,0.3521866386744928,0.20763778686523438,-2.0669033527374268
0.7650909423828125,0.44068974516421766,0.09716376662254333,0.3435259785416743,0.22887127101421356,-2.0709540843963623
0.7985272407531738,0.44068974516421766,0.09404309093952179,0.34664665422469587,0.2417314648628235,-2.0734317302703857
0.8318088054656982,0.40869115249443777,0.08979735523462296,0.3188937972598148,0.258941113948822,-2.076725959777832
0.8652071952819824,0.38833085101057385,0.08443744480609894,0.3038934062044749,0.2804681658744812,-2.0808005332946777
0.8984298706054688,0.3645459542512096,0.08019479364156723,0.2843511606096424,0.29761195182800293,-2.0840036869049072
0.9317572116851807,0.34713959359018215,0.07707206904888153,0.2700675245413006,0.31039318442344666,-2.086385488510132
0.9650704860687256,0.33110220061422646,0.07109926640987396,0.2600029342043525,0.3356640934944153,-2.091146230697632
0.9984493255615234,0.3130420656876927,0.06831374764442444,0.24472831804326828,0.3480766713619232,-2.0935370922088623
1.0317602157592773,0.2915068159870851,0.06489131599664688,0.22661549999043823,0.3643185496330261,-2.0967559814453125
1.0650696754455566,0.2697674792104965,0.061244748532772064,0.20852273067772442,0.3839876055717468,-2.1007988452911377
1.0983972549438477,0.25109838008086993,0.05891899764537811,0.19217938243549182,0.3991175591945648,-2.1040163040161133
1.1317787170410156,0.23022529442463638,0.057566531002521515,0.17265876342211486,0.4100700914859772,-2.1064107418060303
1.1650762557983398,0.21132354943641599,0.05617593601346016,0.15514761342295583,0.42747169733047485,-2.110365629196167
1.198401927947998,0.19690748827853946,0.05580225586891174,0.14110523240962772,0.44062209129333496,-2.1134915351867676
1.2318150997161865,0.18146631276966113,0.056045763194561005,0.12542054957510013,0.45309409499168396,-2.116582155227661
1.2650611400604248,0.17072278196412077,0.05735580995678902,0.11336697200733176,0.4675755798816681,-2.1203806400299072
1.298401117324829,0.1625925068667308,0.05921662226319313,0.10337588460353767,0.4782180190086365,-2.123349666595459
1.3317458629608154,0.1605403379372344,0.06177521497011185,0.09876512296712256,0.4880159795284271,-2.1262433528900146
1.3651671409606934,0.16062665829887202,0.06414017081260681,0.0964864874862652,0.49486857652664185,-2.1283721923828125
1.39839506149292,0.165788133539497,0.06892497092485428,0.09686316261464273,0.5054649710655212,-2.1318488121032715
1.4317426681518555,0.17603583598711856,0.07350106537342072,0.10253477061369784,0.5133599638938904,-2.1346049308776855
1.465087652206421,0.18649657379004136,0.07733957469463348,0.10915699909540788,0.5189908146858215,-2.1366806030273438
1.498429298400879,0.20026664490947907,0.08288068324327469,0.11738596166620438,0.5261698961257935,-2.1394450664520264
1.5317752361297607,0.20026664490947907,0.09192103147506714,0.10834561343441193,0.5362286567687988,-2.1435399055480957
1.5650887489318848,0.2392933087885897,0.09664041548967361,0.1426528932989161,0.5410116314888,-2.1455841064453125
1.5984818935394287,0.2392933087885897,0.1030496135354042,0.1362436952531855,0.5471650958061218,-2.1482927799224854
1.6317596435546875,0.27930368099495045,0.11107514798641205,0.1682285330085384,0.55458003282547,-2.151611089706421
1.665102481842041,0.2963391365550747,0.1173442155122757,0.17899492104279902,0.560381293296814,-2.15419602394104
1.6984021663665771,0.31564176078189027,0.12190041691064835,0.19374134387124192,0.5647119879722595,-2.15608811378479
1.7317590713500977,0.3329420175936146,0.13045792281627655,0.20248409477733803,0.573429524898529,-2.1597061157226562
1.7651050090789795,0.3488356446114546,0.1343744993209839,0.21446114529047072,0.5778543949127197,-2.161508560180664
1.7984514236450195,0.36757082508384925,0.13914284110069275,0.2284279839831565,0.5838568210601807,-2.163888692855835
1.831737995147705,0.38616886038948683,0.14427556097507477,0.24189329941441207,0.5915157794952393,-2.1668765544891357
1.8651039600372314,0.4061942531870142,0.14760726690292358,0.2585869862840906,0.5977973341941833,-2.1692419052124023
1.8984136581420898,0.42047488391418225,0.15017272531986237,0.2703021585943199,0.6042355298995972,-2.171537399291992
1.9317395687103271,0.42047488391418225,0.15192915499210358,0.2685457289220787,0.6108114123344421,-2.173698663711548
1.9652299880981445,0.42666348819136096,0.1528681069612503,0.27379538123011066,0.6175153255462646,-2.1757330894470215
1.9984114170074463,0.4351519702437222,0.15296152234077454,0.28219044790294767,0.6243503093719482,-2.1777167320251465
2.0317270755767822,0.431586551095558,0.151910662651062,0.279675888444496,0.6330504417419434,-2.180152177810669
2.065070629119873,0.4227376139447708,0.15008780360221863,0.27264981034255215,0.6401620507240295,-2.1820526123046875
2.098435640335083,0.41302961441299796,0.14737284183502197,0.265656772577976,0.6473777890205383,-2.1839280128479004
2.1317291259765625,0.40144047678080713,0.14280982315540314,0.258630653625404,0.6564969420433044,-2.186246395111084
2.165064573287964,0.3855368360664346,0.13950492441654205,0.24603191164989252,0.6619899272918701,-2.187623977661133
