t,y_ref,y_meas,e_y,x_meas,z_meas
1.2983734607696533,-0.7618977804740996,0.34870874881744385,-1.1106065292915435,0.03914894908666611,-1.4791910648345947
1.3316054344177246,-0.7702503477032328,0.34242671728134155,-1.1126770649845743,0.03862432390451431,-1.4982863664627075
1.3650453090667725,-0.7796076007812273,0.3321608304977417,-1.111768431278969,0.03778493031859398,-1.5274590253829956
1.3984954357147217,-0.8053934082763605,0.32426294684410095,-1.1296563551204615,0.03705134987831116,-1.5448553562164307
1.4316205978393555,-0.8053934082763605,0.31678664684295654,-1.122180055119317,0.036281488835811615,-1.5563292503356934
1.4650068283081055,-0.8053934082763605,0.3098953664302826,-1.1152887747066431,0.03535916656255722,-1.5627167224884033
1.4982953071594238,-0.8053934082763605,0.3025546371936798,-1.1079480454700403,0.034000612795352936,-1.566468358039856
1.5316746234893799,-0.8053934082763605,0.2991483807563782,-1.1045417890327387,0.033037081360816956,-1.5678094625473022
1.5649986267089844,-0.8053934082763605,0.29581987857818604,-1.1012132868545466,0.03167005255818367,-1.570380687713623
1.5983047485351562,-0.8053934082763605,0.294024258852005,-1.0994176671283655,0.029744530096650124,-1.5749391317367554
1.631641149520874,-0.8053934082763605,0.29461485147476196,-1.1000082597511225,0.028021302074193954,-1.5796470642089844
1.665024757385254,-0.8053934082763605,0.297012060880661,-1.1024054691570215,0.02614067867398262,-1.5849733352661133
1.6982574462890625,-0.8053934082763605,0.3024587035179138,-1.1078521117942743,0.02349856123328209,-1.5919524431228638
1.731658697128296,-0.8053934082763605,0.30709174275398254,-1.112485151030343,0.02166210301220417,-1.596160888671875
1.765040636062622,-0.8053934082763605,0.3145630359649658,-1.1199564442413263,0.01897575333714485,-1.6017308235168457
1.7982783317565918,-0.8053934082763605,0.3258511424064636,-1.1312445506828241,0.015291523188352585,-1.6087594032287598
1.8317711353302002,-0.8053934082763605,0.336164265871048,-1.1415576741474085,0.012163273058831692,-1.6145285367965698
1.8649563789367676,-0.8053934082763605,0.3474653661251068,-1.1528587744014673,0.009002408012747765,-1.6205029487609863
1.898259162902832,-0.8915111069535199,0.36262497305870056,-1.2541360800122203,0.005155221559107304,-1.6283740997314453
1.9316117763519287,-0.8320044713053513,0.37214770913124084,-1.204152180436592,0.002961962716653943,-1.63326895236969
1.965045690536499,-0.8001438373176925,0.38506338000297546,-1.1852072173206678,0.00023174946545623243,-1.6401177644729614
1.9983000755310059,-0.7806537734975595,0.40140196681022644,-1.1820557403077858,-0.002766141202300787,-1.6491217613220215
2.031637668609619,-0.7631846838381479,0.41451001167297363,-1.1776946955111214,-0.004841821268200874,-1.6564894914627075
2.065056800842285,-0.7456802249067813,0.42431873083114624,-1.1699989557379276,-0.0062598916701972485,-1.6620389223098755
2.098254442214966,-0.7303032535597725,0.4405435025691986,-1.170846756128971,-0.008660774677991867,-1.6711281538009644
2.1316001415252686,-0.7064864082141786,0.45336055755615234,-1.159846965770331,-0.010591241531074047,-1.6782745122909546
2.1649646759033203,-0.6785447541051594,0.4659225046634674,-1.1444672587686266,-0.01257664430886507,-1.685343623161316
2.198338747024536,-0.6565471602220455,0.47816166281700134,-1.134708823039047,-0.014667381532490253,-1.692352294921875
2.2315385341644287,-0.6406599660832485,0.49291640520095825,-1.1335763712842066,-0.017407231032848358,-1.7010904550552368
2.2649996280670166,-0.6291655554880525,0.5014693737030029,-1.1306349291910553,-0.019091062247753143,-1.7063484191894531
2.298285484313965,-0.6205200022025325,0.5125349164009094,-1.1330549186034418,-0.021326031535863876,-1.7134284973144531
2.331712245941162,-0.6115235711416703,0.523247241973877,-1.1347708131155474,-0.023404018953442574,-1.7206220626831055
2.365065097808838,-0.6024197870715899,0.5361720323562622,-1.1385918194278521,-0.025527045130729675,-1.7296926975250244
2.3982982635498047,-0.5963876987154088,0.5461537837982178,-1.1425414825136264,-0.0266097579151392,-1.736909031867981
2.4316279888153076,-0.5906005381535673,0.5558470487594604,-1.1464475869130277,-0.02697434090077877,-1.7440645694732666
2.4649858474731445,-0.5836661689962769,0.5675657987594604,-1.1512319677557374,-0.026212263852357864,-1.7529104948043823
2.498331069946289,-0.5786207538125322,0.574401319026947,-1.1530220728394793,-0.024970903992652893,-1.7581192255020142
2.531646966934204,-0.5722146426460466,0.5833398103713989,-1.1555544530174455,-0.022396603599190712,-1.7649708986282349
2.565039873123169,-0.5651409603929811,0.5942327976226807,-1.1593737580156618,-0.017590580508112907,-1.773358941078186
2.598316192626953,-0.5573309793088445,0.6027301549911499,-1.1600611342999945,-0.012515773065388203,-1.7799146175384521
2.631754159927368,-0.5506893106159705,0.6110544204711914,-1.161743731087162,-0.006358779966831207,-1.7863067388534546
2.66494083404541,-0.5441548087170284,0.6191645264625549,-1.1633193351795832,0.0008534585358574986,-1.7925362586975098
2.69834566116333,-0.5350389872464584,0.6270479559898376,-1.1620869432362961,0.0091268140822649,-1.798646092414856
2.731721878051758,-0.5272383361013068,0.6346338391304016,-1.1618721752317085,0.01828901469707489,-1.8046694993972778
2.765018939971924,-0.5184282349770857,0.6436930298805237,-1.1621212648576094,0.030907906591892242,-1.8120840787887573
2.7983453273773193,-0.5142484722018873,0.6505506634712219,-1.164799135673109,0.04174534231424332,-1.8179162740707397
2.8319766521453857,-0.5054646959461442,0.6570479273796082,-1.1625126233257523,0.05308365076780319,-1.8236671686172485
2.86495304107666,-0.5009995472320371,0.6645687222480774,-1.1655682694801146,0.06759438663721085,-1.8307017087936401
2.8983986377716064,-0.4956312971527268,0.6701180338859558,-1.1657493310386826,0.07931268960237503,-1.8361955881118774
2.931687116622925,-0.4928079184370588,0.6740395426750183,-1.1668474611120772,0.08800027519464493,-1.8402150869369507
2.9648964405059814,-0.49052326937612845,0.6802250742912292,-1.1707483436673578,0.10217892378568649,-1.8467708826065063
2.998349666595459,-0.4908278304151467,0.6849794983863831,-1.1758073288015298,0.11310926824808121,-1.8518470525741577
3.0316848754882812,-0.4920642441282555,0.6884673833847046,-1.18053162751296,0.12098561227321625,-1.8555654287338257
3.064974546432495,-0.49130708724548694,0.6930679082870483,-1.1843749955325353,0.13105496764183044,-1.860460638999939
3.098674774169922,-0.4916988914098827,0.6987974047660828,-1.1904962961759655,0.14278888702392578,-1.866507887840271
3.1317343711853027,-0.4913497999608118,0.7033770680427551,-1.194726868003567,0.15139693021774292,-1.8713182210922241
3.1650354862213135,-0.4890293486595649,0.7079463601112366,-1.1969757087708015,0.15935668349266052,-1.8761392831802368
3.1983654499053955,-0.4871578249479372,0.7125335931777954,-1.1996914181257325,0.16659335792064667,-1.8809822797775269
3.231703042984009,-0.4826214899544839,0.717162549495697,-1.1997840394501809,0.17307507991790771,-1.885888695716858
