timestamp,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,quat_w,quat_x,quat_y,quat_z,u0,u1,u2,u3,voltage_v,wall_time
1775469901328950,-0.025649257,0.012175348,-0.0376506,-0.0054419283,0.0055056177,-0.0069612325,-0.003392429,0.0004493,-0.0034370457,-0.00033657294,0.00054988643,-0.00011839611,0.66931546,-2.7617301e-05,-1.2595277e-06,0.74297833,0.16270117,0.16202201,0.16299856,0.16313648,16.14876365661621,2026-04-06T18:05:01.369956
1775469901340950,-0.025629343,0.01206386,-0.037706524,-0.0053710057,0.0054087597,-0.007047336,0.0012434846,0.0053587533,-0.0071665267,-2.9574314e-05,0.0006724236,0.00017511212,0.66931635,-3.1975906e-05,2.5317024e-06,0.7429776,0.16520602,0.16437174,0.16540554,0.16553123,16.148164749145508,2026-04-06T18:05:01.374572
1775469901348950,-0.025609858,0.01195413,-0.03776343,-0.0052774046,0.005300849,-0.007110311,0.004271284,0.0035279016,-0.004380941,-0.00072111463,0.00035271698,0.00026760428,0.6693169,-3.7212925e-05,3.3307892e-06,0.74297714,0.16757767,0.16685629,0.16802432,0.16774082,16.148164749145508,2026-04-06T18:05:01.386432
1775469901360950,-0.025556996,0.011757493,-0.037904963,-0.0051427223,0.0051863845,-0.007249681,-0.00042661358,0.0041570617,-0.0051814127,0.0004410585,-0.0006156072,0.00048643013,0.6693182,-4.1493447e-05,5.8506457e-06,0.74297595,0.1726972,0.1715396,0.17284608,0.17268573,16.147563934326172,2026-04-06T18:05:01.394688
1775469901368950,-0.025531096,0.011661647,-0.037977055,-0.005048962,0.0051159705,-0.0073131127,0.0030425275,0.0060644844,-0.003998633,0.00034559943,-0.0010208596,-7.22962e-05,0.66931975,-3.9907278e-05,5.6234617e-06,0.7429745,0.17536475,0.17380682,0.17550956,0.17494074,16.147563934326172,2026-04-06T18:05:01.406321
1775469901380950,-0.025505612,0.011567567,-0.03804913,-0.004987853,0.0050415318,-0.0072735567,-0.0008127771,0.0051815896,0.008760019,0.00060686783,0.0007419419,-0.00032004976,0.669322,-4.2865355e-05,1.0801299e-05,0.74297243,0.17711446,0.1770546,0.17745583,0.17791757,16.14696502685547,2026-04-06T18:05:01.415010
1775469901388950,-0.025466673,0.011480804,-0.03812869,-0.004944702,0.004951489,-0.007364161,-0.0050422754,0.002395963,-0.0072303223,-0.0003104804,0.0010798442,2.4095056e-05,0.66932327,-4.92624e-05,1.4080602e-05,0.74297136,0.17975444,0.17946601,0.18002978,0.18037066,16.14696502685547,2026-04-06T18:05:01.426445
1775469901400950,-0.025391323,0.011311346,-0.038288236,-0.004771219,0.0047543426,-0.00741583,0.005977418,-0.0030594086,0.0006346963,2.3569064e-05,0.00065743714,0.0004043857,0.669325,-5.5820827e-05,2.1277387e-05,0.7429698,0.18504539,0.18425581,0.18524528,0.18519711,16.146364212036133,2026-04-06T18:05:01.434877
1775469901412950,-0.025354402,0.011228311,-0.03836797,-0.004710709,0.0046420842,-0.0074552177,-0.0020860701,-0.0013988346,-0.0011762603,0.00032547637,0.0002493738,0.0008013162,0.6693239,-5.8208774e-05,2.3751461e-05,0.74297076,0.18754217,0.18682103,0.18796396,0.18759541,16.14600372314453,2026-04-06T18:05:01.446990
1775469901420950,-0.025318122,0.011146414,-0.03844753,-0.004639171,0.0045680166,-0.007428052,-0.00046581394,0.0030510302,0.007032882,-0.00067770295,0.0002615418,0.0002119629,0.66932464,-6.329034e-05,2.3201472e-05,0.74297017,0.19006385,0.18942055,0.19044916,0.19021228,16.14576530456543,2026-04-06T18:05:01.455167
1775469901428950,-0.025271289,0.011068168,-0.038515985,-0.0046015955,0.0044466276,-0.007521348,-0.006449141,-0.0034381503,-0.00869343,0.00037614207,-0.0010534073,-0.0007074162,0.66932803,-6.16016e-05,2.2184033e-05,0.74296707,0.1930586,0.191635,0.19305713,0.19274075,16.14576530456543,2026-04-06T18:05:01.466672
1775469901440950,-0.025179708,0.010915177,-0.03865421,-0.00438326,0.00425949,-0.0075361934,0.0031567968,-0.005830977,0.004684552,-0.0003897606,-0.00018260167,-0.0010300755,0.6693353,-6.6962544e-05,2.5637553e-05,0.7429605,0.19767867,0.19742794,0.19799298,0.19810402,16.145164489746094,2026-04-06T18:05:01.475166
1775469901448950,-0.02513455,0.010839883,-0.0387235,-0.0042906334,0.004090232,-0.007581533,0.0012543487,-0.010299614,-0.002955552,-0.00015198767,-0.0008494535,-2.6923777e-05,0.66933674,-6.742316e-05,2.3176332e-05,0.7429592,0.2007322,0.1996547,0.20105916,0.20027408,16.145164489746094,2026-04-06T18:05:01.486885
1775469901456950,-0.025079517,0.010770715,-0.038783103,-0.004198115,0.0039949934,-0.0076288083,7.339372e-05,-0.0017896869,-0.003945082,-0.00036620648,-0.00044933613,0.0008374996,0.66933554,-6.9592075e-05,2.1084812e-05,0.7429603,0.20314196,0.20248638,0.20338716,0.20321926,16.144804000854492,2026-04-06T18:05:01.494706
1775469901468950,-0.025025545,0.010702703,-0.038843334,-0.0041570985,0.0039254883,-0.007673486,-0.0060768398,0.0011673947,-0.003680121,0.00034295037,-1.8955496e-05,0.0009948732,0.66933393,-7.1236005e-05,2.2023745e-05,0.7429617,0.20561822,0.20525825,0.20577776,0.20616047,16.14456558227539,2026-04-06T18:05:01.506901
1775469901480950,-0.024919886,0.010569245,-0.038969934,-0.0039762966,0.0037164222,-0.0076427753,0.00036686682,-0.0013249622,0.0011078081,-0.00048489936,-0.00014757362,0.00015718516,0.6693348,-7.8682955e-05,2.2431868e-05,0.74296093,0.21089722,0.2106802,0.21139775,0.21125488,16.143964767456055,2026-04-06T18:05:01.515427
1775469901489110,-0.02487334,0.010510115,-0.039035738,-0.0039361743,0.003612773,-0.0076684244,-0.004363046,-0.004982788,-0.0015096738,-0.0002200426,0.0006807885,3.4745785e-06,0.669336,-8.375298e-05,2.3397228e-05,0.7429598,0.21354067,0.21343747,0.2139224,0.21411373,16.143964767456055,2026-04-06T18:05:01.527053
1775469901501110,-0.024827868,0.010451956,-0.03910187,-0.003919994,0.0035653196,-0.007692417,-0.0071255914,0.0018333949,-0.0013550742,-0.00034645767,0.00052827864,0.0001753103,0.66933656,-8.841872e-05,2.3458793e-05,0.7429593,0.21634151,0.21605177,0.21680316,0.2166413,16.14336395263672,2026-04-06T18:05:01.535383
1775469901513110,-0.024739476,0.0103388745,-0.0392341,-0.0038193145,0.0034254058,-0.0076654316,-0.004408326,-0.0031199022,0.0038645228,0.00016012741,-0.00051224825,0.00037591127,0.6693354,-9.150651e-05,1.9171672e-05,0.7429604,0.22195892,0.22133774,0.22221102,0.22218287,16.14300537109375,2026-04-06T18:05:01.547639
1775469901521110,-0.02468628,0.010293083,-0.039296985,-0.0037177987,0.0033707914,-0.0076855733,0.0031992286,-0.0009449263,-0.0014300457,-0.0008417364,0.0002299281,9.087704e-05,0.6693361,-9.6441596e-05,1.682761e-05,0.7429598,0.2244407,0.22437775,0.2249925,0.22491719,16.14300537109375,2026-04-06T18:05:01.555529
1775469901529110,-0.024633858,0.010248594,-0.039360046,-0.0036729458,0.003416431,-0.0076978,-0.0036535216,0.011428956,-0.00047637147,-0.0008495693,0.00035766448,-9.644329e-05,0.6693372,-0.00010172923,1.4528005e-05,0.7429588,0.22706845,0.22729069,0.2276405,0.22778885,16.142765045166016,2026-04-06T18:05:01.567140
1775469901541110,-0.024582265,0.010205544,-0.039423287,-0.003574326,0.0034002147,-0.0077059763,0.0032919573,0.0035420505,-4.6566124e-06,-0.00012859587,0.00060943776,-0.00032945012,0.669339,-0.000105775885,1.5011561e-05,0.7429572,0.23034094,0.22960564,0.230286,0.23068105,16.14216423034668,2026-04-06T18:05:01.575521
1775469901553110,-0.024478463,0.010142248,-0.039571434,-0.0034251264,0.0033987155,-0.0077177375,0.00271438,0.0042937933,0.0015906988,-0.00092725037,-0.00045296043,-0.00023869093,0.6693399,-0.00010627592,1.1969847e-05,0.74295634,0.2357973,0.23535694,0.23634267,0.23583898,16.14180564880371,2026-04-06T18:05:01.587722
1775469901561110,-0.024426498,0.010121995,-0.03965214,-0.003409581,0.0034464719,-0.0077133575,-0.00623889,0.008767294,0.0022491438,-0.0011258216,0.0007310006,0.00039787163,0.66933924,-0.000112933834,9.470015e-06,0.74295694,0.23816639,0.23863456,0.23899718,0.23882617,16.141565322875977,2026-04-06T18:05:01.595594
1775469901569110,-0.02437566,0.010102765,-0.039732307,-0.003353562,0.003456875,-0.007691941,-0.0009826046,0.0040167067,0.004325527,-4.9195496e-05,0.0005631781,-0.00013295964,0.66934013,-0.00011614752,9.701242e-06,0.74295616,0.24140213,0.24108057,0.24166167,0.24183139,16.141565322875977,2026-04-06T18:05:01.607294
1775469901581110,-0.024325712,0.010084729,-0.039812148,-0.0032932612,0.0034957419,-0.007733248,-0.00025591112,0.007495058,-0.0035664996,-0.0006854303,3.5043868e-05,-0.0002658024,0.6693414,-0.00011943288,6.6106686e-06,0.742955,0.24431509,0.2438971,0.24480155,0.24438746,16.14096450805664,2026-04-06T18:05:01.615845
1775469901589110,-0.024261735,0.010092043,-0.03991273,-0.0032065879,0.0035125222,-0.007711941,0.00204712,0.0016236119,0.005356967,-0.0007978269,0.00030872851,-0.00020384973,0.6693424,-0.00012377133,3.903953e-06,0.7429541,0.24726067,0.24667922,0.2476839,0.24719897,16.14096450805664,2026-04-06T18:05:01.627356
1775469901601110,-0.024136811,0.010108134,-0.040111512,-0.0030660394,0.003543607,-0.0077652587,-0.00010729763,0.003419733,-0.0007306225,0.0007075061,0.0003967924,-0.00049962697,0.6693476,-0.00012512995,1.8366942e-06,0.7429494,0.25313398,0.25237802,0.25313753,0.25322145,16.140365600585938,2026-04-06T18:05:01.635932
1775469901613110,-0.024076026,0.010116972,-0.04020986,-0.0029955187,0.003550583,-0.0077719176,0.0006529712,0.00040062107,0.0016293487,-0.00017823337,0.000325276,0.00023864025,0.66934705,-0.00012754728,5.3902045e-07,0.74294984,0.2558817,0.2554272,0.25618935,0.25596094,16.140005111694336,2026-04-06T18:05:01.648343
1775469901621110,-0.024005312,0.01015406,-0.040313035,-0.0029015406,0.0035781397,-0.007837316,0.0035398605,-0.0006052071,-0.0054920088,0.00045766443,-4.3591805e-05,-0.0003800607,0.66934836,-0.0001271024,1.4094655e-07,0.7429487,0.25899696,0.25814542,0.25921944,0.25876272,16.1397647857666,2026-04-06T18:05:01.656262
1775469901629110,-0.023935707,0.010191431,-0.040415585,-0.002820151,0.003669323,-0.007856653,0.0021521554,0.007448231,0.00018579884,-4.2771208e-06,-0.000337,0.0003583422,0.6693472,-0.00012666793,-2.8608888e-06,0.7429497,0.26191184,0.26105273,0.2622433,0.2615769,16.1397647857666,2026-04-06T18:05:01.667620
1775469901641110,-0.023800414,0.010267871,-0.040617883,-0.0027074579,0.003845865,-0.0078661395,-0.0005371643,0.0086614555,-0.00065658236,0.00024316869,0.00023905112,-0.00045476176,0.6693488,-0.00012516484,-5.6001995e-06,0.7429484,0.2676066,0.26717815,0.26787716,0.26774132,16.1391658782959,2026-04-06T18:05:01.676220
1775469901649110,-0.023709735,0.010329894,-0.04071942,-0.0026297742,0.0039076866,-0.007910862,-0.00012012054,0.0011012589,-0.0030426306,-0.0005152803,0.0002510203,-0.00030824527,0.66934943,-0.00012765537,-8.526346e-06,0.7429478,0.27054262,0.27019554,0.2710678,0.27047133,16.1391658782959,2026-04-06T18:05:01.687746
1775469901661110,-0.023620773,0.010391926,-0.04082042,-0.0025500436,0.003971827,-0.007930919,0.00038172546,0.0015435248,-3.5390254e-05,-0.00052823435,0.00025786203,-0.0005572052,0.66935074,-0.00013018644,-1.2002663e-05,0.74294657,0.27364612,0.27306816,0.27395746,0.2735166,16.138565063476562,2026-04-06T18:05:01.696254
1775469901669110,-0.02353341,0.010453868,-0.040922284,-0.002460226,0.00402075,-0.007995288,0.0018822245,-0.00021104755,-0.005604233,0.0008890831,0.0006877978,-0.0009680071,0.6693533,-0.00013014757,-1.0103852e-05,0.74294424,0.27674347,0.27599987,0.27673644,0.2767016,16.138565063476562,2026-04-06T18:05:01.707939
1775469901681110,-0.02336308,0.010577382,-0.041124165,-0.0023128123,0.0041136728,-0.00806493,-0.0034721626,0.0008882362,-0.004709232,0.00018907311,0.00093908334,4.367028e-05,0.6693548,-0.00013164805,-1.1420708e-05,0.74294287,0.28259912,0.2822181,0.28296477,0.2825189,16.13796615600586,2026-04-06T18:05:01.716590
1775469901689110,-0.023264129,0.010646099,-0.041223973,-0.0021969203,0.004110763,-0.008076296,0.0042387857,-0.007514592,0.0007990747,-0.00027958927,-8.192877e-05,-0.00088994723,0.66935706,-0.00013230089,-1.5005832e-05,0.7429409,0.2856896,0.28519365,0.2861119,0.28543577,16.13796615600586,2026-04-06T18:05:01.728160
1775469901701110,-0.02316703,0.010714186,-0.041323066,-0.0021471172,0.0041100024,-0.008110491,-0.0037605911,-0.0070848935,-0.0021206213,-0.0005400644,-0.00061422726,-0.00033490048,0.66935766,-0.000132101,-2.1049605e-05,0.74294037,0.28890872,0.28811166,0.2893589,0.28828332,16.137365341186523,2026-04-06T18:05:01.736427
1775469901713110,-0.022977084,0.0108496705,-0.04152009,-0.0018440746,0.0041867024,-0.008239392,0.009155904,-0.0034203564,-0.006230082,0.000461449,0.0011755964,-0.00014560338,0.66935605,-0.00013551574,-2.2624015e-05,0.7429418,0.29465303,0.29461905,0.29487038,0.29508477,16.137004852294922,2026-04-06T18:05:01.748471
1775469901721110,-0.022861993,0.010917677,-0.04160744,-0.0017277701,0.0042629885,-0.008271986,0.0031881682,0.002702661,-0.0026882624,1.0307332e-05,1.0637961e-05,0.0009069177,0.6693528,-0.00013557434,-2.5279294e-05,0.74294466,0.29797405,0.29745707,0.29845273,0.297695,16.136764526367188,2026-04-06T18:05:01.756581
1775469901729110,-0.022748725,0.010985916,-0.041694462,-0.0016129012,0.0043550623,-0.008268189,0.0032970982,0.004826025,0.0018174759,-0.0006214827,0.00096985325,-0.00022013445,0.6693532,-0.00014035092,-2.741079e-05,0.7429444,0.3009167,0.30072105,0.30151322,0.3008811,16.136764526367188,2026-04-06T18:05:01.768169
1775469901741110,-0.022637341,0.01105457,-0.04178077,-0.0015191819,0.004450838,-0.008242924,0.0009347595,0.0054342723,0.004459172,0.00022868723,0.00037224914,0.00014912798,0.66935235,-0.00014104301,-2.8583e-05,0.7429452,0.30426538,0.30363378,0.30483878,0.30384007,16.136165618896484,2026-04-06T18:05:01.776573
1775469901749110,-0.022527983,0.011123346,-0.04186669,-0.0014795776,0.0044918824,-0.008278252,-0.005557756,-0.0012660465,-0.003156252,-0.0010530235,-0.0004179511,0.0005635554,0.6693502,-0.0001427878,-3.5646644e-05,0.74294704,0.30740657,0.30678323,0.30828398,0.30672908,16.136165618896484,2026-04-06T18:05:01.788326
1775469901761110,-0.022283489,0.011244376,-0.04204133,-0.0012520071,0.0045462092,-0.008288087,-7.673179e-05,-0.004474275,0.0027636995,0.00038038444,-6.719397e-05,0.00017926375,0.66934943,-0.00014108044,-4.294607e-05,0.74294776,0.31383604,0.31301013,0.31415898,0.31351432,16.13556480407715,2026-04-06T18:05:01.796693
1775469901769110,-0.022164358,0.011304765,-0.042127877,-0.0011775028,0.004558633,-0.008308953,-0.0017144225,-0.0035829172,-0.0011054798,0.00055437186,-0.000455807,0.00065632415,0.66934717,-0.00013855602,-4.5186796e-05,0.7429498,0.31696993,0.31624827,0.3174369,0.31664395,16.13556480407715,2026-04-06T18:05:01.808466
1775469901781110,-0.022047237,0.011365298,-0.042214602,-0.0010566884,0.004618318,-0.008421736,0.0043521863,0.0024286222,-0.012642237,-0.0006749431,0.00049497356,0.00062656903,0.66934496,-0.00014212796,-4.848931e-05,0.74295175,0.31972373,0.3198585,0.32082808,0.31969625,16.134965896606445,2026-04-06T18:05:01.816988
1775469901789110,-0.021919155,0.011411853,-0.04229805,-0.0009576784,0.004645618,-0.008470093,0.0012134714,-0.00014903735,-0.004451256,-0.00041998344,-0.0006287693,-0.000280129,0.6693455,-0.00014166666,-5.3985405e-05,0.7429513,0.32346898,0.3225146,0.3240136,0.32288408,16.134965896606445,2026-04-06T18:05:01.828633
1775469901801110,-0.021669172,0.011505732,-0.042464435,-0.00070453185,0.0046825865,-0.008504068,0.007508904,0.00038240183,-0.00065192574,7.1499967e-06,-0.0011113863,0.00020916283,0.6693472,-0.0001382066,-6.252894e-05,0.7429498,0.32987246,0.32908002,0.33052433,0.32928908,16.13436508178711,2026-04-06T18:05:01.836992
1775469901813110,-0.021546891,0.011553097,-0.042547286,-0.00062236004,0.0047031916,-0.008494833,-6.625555e-05,-0.00079716375,0.0026030464,4.002914e-05,-0.0005406298,0.00016168458,0.6693465,-0.00013690857,-6.612987e-05,0.74295044,0.33300453,0.33245456,0.33364922,0.3327012,16.13400650024414,2026-04-06T18:05:01.849181
1775469901821110,-0.021438729,0.011590521,-0.04262489,-0.0005999923,0.0047428003,-0.008516943,-0.0051249224,0.0025350747,-0.0012754461,0.00047165478,-0.00025673397,-0.0005394324,0.6693479,-0.0001352931,-6.761656e-05,0.7429492,0.33634397,0.33569232,0.33689296,0.33600664,16.133766174316406,2026-04-06T18:05:01.857062
1775469901829110,-0.02133255,0.011628793,-0.042702705,-0.0005077929,0.004817993,-0.008568695,0.0038019859,0.0070208134,-0.005027279,0.00042134535,0.00015105595,-8.934887e-05,0.66934776,-0.00013479793,-6.780976e-05,0.7429492,0.33938736,0.33923125,0.34011817,0.3393572,16.133766174316406,2026-04-06T18:05:01.868677
1775469901841110,-0.021125529,0.011706453,-0.04285842,-0.00033513366,0.004791639,-0.008613596,0.0076031196,-0.004536787,-0.0016423872,-0.0002609224,-0.00028625532,-0.00047695922,0.66934764,-0.00013822227,-7.300365e-05,0.74294937,0.34619156,0.34564745,0.3470109,0.34570315,16.13316535949707,2026-04-06T18:05:01.877257
1775469901849110,-0.02103593,0.011746287,-0.042920828,-0.0002904756,0.004845242,-0.008659096,0.0005906928,0.0038273877,-0.0050044614,-0.0012769614,0.0004396366,9.003862e-05,0.66934705,-0.00014312765,-7.725829e-05,0.7429499,0.34932098,0.3491874,0.3503435,0.34902844,16.13316535949707,2026-04-06T18:05:01.888894
1775469901861110,-0.020947987,0.011786726,-0.042983532,-0.00020438833,0.0048784413,-0.008623587,0.0058935736,0.0013311532,0.0050980593,-0.0010289717,0.00064070505,-0.00045621922,0.66934794,-0.00014762214,-8.007135e-05,0.7429491,0.35285455,0.35235134,0.35358837,0.35246527,16.132566452026367,2026-04-06T18:05:01.897424
1775469901873110,-0.020776002,0.0118689425,-0.04310885,-6.211321e-05,0.0049284073,-0.008620334,0.0026860747,0.0013851083,-0.0036875715,0.000245665,-0.0002551128,0.00015659728,0.66934776,-0.00014368228,-8.326414e-05,0.7429493,0.3598017,0.3589577,0.36037546,0.35921317,16.132205963134766,2026-04-06T18:05:01.909348
1775469901881110,-0.020697787,0.011909549,-0.043162435,-2.978278e-05,0.0049937097,-0.008676381,0.0009928588,0.0050762175,-0.0066608186,0.000345413,7.5985314e-05,0.0005944846,0.6693455,-0.00014282239,-8.3275256e-05,0.7429513,0.36306342,0.36245158,0.3636878,0.36270517,16.13196563720703,2026-04-06T18:05:01.917371
1775469901889110,-0.020621322,0.011950922,-0.043217063,-3.242666e-05,0.0050495532,-0.008728175,-0.0033020966,0.003959014,-0.0061430032,0.0005225147,-0.00024633502,0.00030272035,0.66934395,-0.00014028144,-8.348712e-05,0.74295264,0.3664299,0.36586538,0.36716306,0.366055,16.13196563720703,2026-04-06T18:05:01.929007
1775469901901110,-0.02054647,0.0119929155,-0.043272197,3.468427e-05,0.005082417,-0.008731513,0.0054939073,0.0011517281,-9.918585e-05,-0.0005090884,0.00010864453,-0.00012924583,0.66934377,-0.0001415553,-8.573524e-05,0.7429529,0.36971647,0.3694125,0.37070733,0.36934248,16.131364822387695,2026-04-06T18:05:01.937488
1775469901913110,-0.020396445,0.0120847095,-0.04340446,0.00012305542,0.005251944,-0.008802241,0.0018934081,0.0043830867,-0.002606306,0.00052094646,-0.00030403145,-1.3095202e-05,0.6693445,-0.00013893435,-8.8292385e-05,0.7429522,0.3769405,0.3759774,0.37757856,0.3762334,16.131006240844727,2026-04-06T18:05:01.949769
1775469901921110,-0.02032175,0.012134341,-0.043471932,0.00013049995,0.0052631493,-0.0088501945,-0.0017600782,-0.0028466398,-0.0046617347,-0.000231173,-0.00020731534,-8.295438e-05,0.669344,-0.00013837051,-9.0536836e-05,0.7429527,0.3802955,0.37954786,0.38108897,0.37964034,16.130765914916992,2026-04-06T18:05:01.957740
1775469901929110,-0.020248597,0.012184399,-0.04354021,0.00017478043,0.005346071,-0.008938691,0.0029183587,0.00621913,-0.0097714355,-0.0006258859,-0.0008994852,-1.3646186e-05,0.6693433,-0.00013680113,-9.573299e-05,0.7429533,0.383803,0.38298002,0.38481998,0.38285372,16.130765914916992,2026-04-06T18:05:01.969162
1775469901941110,-0.0201772,0.012235035,-0.043609083,0.00016108737,0.0053732945,-0.008987389,-0.004255506,-0.00064281945,-0.004837289,-0.0006293723,-0.00015661016,-0.00060258637,0.66934437,-0.00013744374,-9.887762e-05,0.74295235,0.38705626,0.38668144,0.38799104,0.38662875,16.130165100097656,2026-04-06T18:05:01.977637
